Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
22,6,23/02/2018 08:18:29,1532698,11,11,1179,1969,648,0,107.1818182,196.2451621,976,0,179,364.1864907,2053.894505,14.35377354,72985.61905,97519.16303,207592,11,1532698,153269.8,106658.5038,246403,20,1325840,132584,106034.7808,247549,67,0,0,0,0,360,360,7.176886771,7.176886771,0,976,136.8695652,282.7939025,79972.3913,0,0,0,1,0,0,0,0,1,143.0909091,107.1818182,179,0,0,0,0,0,0,11,1179,11,1969,29200,230,7,32,0,0,0,0,0,0,0,0,Benign
500,17,23/02/2018 08:17:45,117573855,3,0,1500,0,500,500,500,0,0,0,0,0,12.7579384,0.025515877,58786927.5,23753242.01,75583006,41990849,117573855,58786927.5,23753242.01,75583006,41990849,0,0,0,0,0,0,0,0,0,24,0,0.025515877,0,500,500,500,0,0,0,0,0,0,0,0,0,0,0,666.6666667,500,0,0,0,0,0,0,0,3,1500,0,0,-1,-1,2,8,0,0,0,0,58786927.5,23753242.01,75583006,41990849,Benign
500,17,23/02/2018 08:17:45,117573848,3,0,1500,0,500,500,500,0,0,0,0,0,12.75793916,0.025515878,58786924,23753248.37,75583007,41990841,117573848,58786924,23753248.37,75583007,41990841,0,0,0,0,0,0,0,0,0,24,0,0.025515878,0,500,500,500,0,0,0,0,0,0,0,0,0,0,0,666.6666667,500,0,0,0,0,0,0,0,3,1500,0,0,-1,-1,2,8,0,0,0,0,58786924,23753248.37,75583007,41990841,Benign
22,6,23/02/2018 08:19:55,1745392,11,11,1179,1969,648,0,107.1818182,196.2451621,976,0,179,364.1864907,1803.606296,12.60461833,83113.90476,111972.0408,242608,12,1745392,174539.2,121109.0199,275228,20,1509435,150943.5,121013.1658,273442,81,0,0,0,0,360,360,6.302309166,6.302309166,0,976,136.8695652,282.7939025,79972.3913,0,0,0,1,0,0,0,0,1,143.0909091,107.1818182,179,0,0,0,0,0,0,11,1179,11,1969,29200,230,7,32,0,0,0,0,0,0,0,0,Benign
500,17,23/02/2018 08:18:17,89483474,6,0,3000,0,500,500,500,0,0,0,0,0,33.52574354,0.067051487,17896694.8,15345229.89,41989576,4000364,89483474,17896694.8,15345229.89,41989576,4000364,0,0,0,0,0,0,0,0,0,48,0,0.067051487,0,500,500,500,0,0,0,0,0,0,0,0,0,0,0,583.3333333,500,0,0,0,0,0,0,0,6,3000,0,0,-1,-1,5,8,4000364,0,4000364,4000364,21370777.5,15280917.4,41989576,7200485,Benign
500,17,23/02/2018 08:18:17,89483474,6,0,3000,0,500,500,500,0,0,0,0,0,33.52574354,0.067051487,17896694.8,15345227.52,41989575,4000363,89483474,17896694.8,15345227.52,41989575,4000363,0,0,0,0,0,0,0,0,0,48,0,0.067051487,0,500,500,500,0,0,0,0,0,0,0,0,0,0,0,583.3333333,500,0,0,0,0,0,0,0,6,3000,0,0,-1,-1,5,8,4000363,0,4000363,4000363,21370777.75,15280913.85,41989575,7200496,Benign
0,0,23/02/2018 08:18:25,112641484,3,0,0,0,0,0,0,0,0,0,0,0,0,0.026633172,56320742,111.7228714,56320821,56320663,112641484,56320742,111.7228714,56320821,56320663,0,0,0,0,0,0,0,0,0,0,0,0.026633172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0,0,0,56320742,111.7228714,56320821,56320663,Benign
22,6,23/02/2018 08:21:21,1566324,11,11,1179,1969,648,0,107.1818182,196.2451621,976,0,179,364.1864907,2009.801293,14.0456253,74586.85714,99733.6411,212619,12,1566324,156632.4,108917.647,249655,19,1354334,135433.4,108080.0882,251623,83,0,0,0,0,360,360,7.022812649,7.022812649,0,976,136.8695652,282.7939025,79972.3913,0,0,0,1,0,0,0,0,1,143.0909091,107.1818182,179,0,0,0,0,0,0,11,1179,11,1969,29200,230,7,32,0,0,0,0,0,0,0,0,Benign
500,17,23/02/2018 08:18:54,89479775,6,0,3000,0,500,500,500,0,0,0,0,0,33.52712945,0.067054259,17895955,15345242.13,41990534,4000295,89479775,17895955,15345242.13,41990534,4000295,0,0,0,0,0,0,0,0,0,48,0,0.067054259,0,500,500,500,0,0,0,0,0,0,0,0,0,0,0,583.3333333,500,0,0,0,0,0,0,0,6,3000,0,0,-1,-1,5,8,4000295,0,4000295,4000295,21369870,15281187.95,41990534,7200288,Benign
500,17,23/02/2018 08:18:54,89479775,6,0,3000,0,500,500,500,0,0,0,0,0,33.52712945,0.067054259,17895955,15345242.12,41990535,4000296,89479775,17895955,15345242.12,41990535,4000296,0,0,0,0,0,0,0,0,0,48,0,0.067054259,0,500,500,500,0,0,0,0,0,0,0,0,0,0,0,583.3333333,500,0,0,0,0,0,0,0,6,3000,0,0,-1,-1,5,8,4000296,0,4000296,4000296,21369869.75,15281188.32,41990535,7200288,Benign
